"","District","Year","0...04 yrs","05...09 yrs","10...14 yrs","15...19 yrs","20...24 yrs","25...49 yrs","50...64 yrs","65+ yrs","Province"
"74","Trincomalee",2019,36557,36615,34368,34447,32082,151600,66920,33411,"Eastern"
"75","Polonnaruwa",2019,37758,37819,35498,35579,33137,156582,69119,34509,"North_Central"
"76","Gampaha",2020,207932,208374,195441,195993,182507,862128,380490,190135,"Western"
"77","Nuwara Eliya",2020,66336,66477,62351,62527,58225,275041,121386,60658,"Central"
"78","Jaffna",2020,53292,53405,50090,50232,46775,220958,97517,48730,"Northen"
"79","Colombo",2020,210678,211126,198022,198582,184917,873514,385515,192646,"Western"
"80","Matale",2020,45053,45149,42347,42467,39544,186800,82442,41197,"Central"
"81","Hambantota",2020,57325,57447,53881,54034,50316,237681,104898,52418,"Southern"
"82","Kaluthara",2020,110445,110680,103810,104104,96940,457928,202101,100992,"Western"
"83","Galle",2020,97401,97608,91550,91809,85491,403844,178232,89064,"Southern"
"84","Kilinochchi",2020,11156,11180,10486,10516,9792,46255,20414,10201,"Northen"
"85","Batticaloa",2020,49687,49793,46702,46835,43612,206014,90922,45435,"Eastern"
"86","Puttalam",2020,71828,71981,67513,67704,63045,297813,131436,65680,"North_Western"
"87","Moneragala",2020,42994,43085,40411,40525,37737,178261,78673,39314,"Uva"
"88","Mullaitivu",2020,8410,8428,7905,7927,7382,34869,15389,7690,"Northen"
"89","Kurunegala",2020,148118,148433,139220,139614,130007,614128,271038,135440,"North_Western"
"90","Badulla",2020,76033,76195,71465,71667,66736,315248,139131,69525,"Uva"
"91","Vavuniya",2020,16391,16426,15406,15450,14387,67960,29993,14988,"Northen"
"92","Kandy",2020,127265,127536,119620,119958,111704,527666,232880,116372,"Central"
"93","Matara",2020,74317,74475,69852,70050,65230,308131,135990,67956,"Southern"
"94","Mannar",2020,9611,9632,9034,9060,8436,39851,17588,8789,"Northen"
"95","Ampara",2020,63161,63295,59366,59534,55438,261876,115576,57754,"Eastern"
"96","Anuradhapura",2020,80924,81097,76063,76278,71029,335529,148082,73998,"North_Central"
"97","Ratnapura",2020,101177,101392,95099,95368,88806,419500,185142,92517,"Sabaragamuwa"
"98","Polonnaruwa",2020,38016,38097,35733,35834,33368,157624,69565,34763,"North_Central"
"99","Kegalle",2020,76462,76625,71869,72072,67113,317027,139916,69917,"Sabaragamuwa"
"100","Trincomalee",2020,36987,37065,34765,34863,32464,153354,67681,33821,"Eastern"
"101","Nuwara Eliya",2021,66960,67101,62946,63122,58757,277520,122443,61151,"Central"
"102","Kilinochchi",2021,11417,11442,10733,10763,10019,47321,20878,10427,"Northen"
"103","Gampaha",2021,209721,210162,197151,197703,184030,869208,383497,191528,"Western"
"104","Hambantota",2021,58032,58154,54554,54706,50923,240518,106117,52997,"Southern"
"105","Jaffna",2021,53739,53853,50519,50660,47156,222728,98268,49078,"Northen"
"106","Colombo",2021,212898,213345,200137,200697,186817,882372,389305,194429,"Western"
"107","Matale",2021,45498,45594,42771,42891,39925,188571,83198,41551,"Central"
"108","Mannar",2021,9786,9807,9200,9226,8588,40561,17895,8937,"Northen"
"109","Kaluthara",2021,111256,111490,104588,104880,97627,461111,203443,101605,"Western"
"110","Galle",2021,98465,98672,92563,92822,86403,408097,180054,89923,"Southern"
"111","Ratnapura",2021,102157,102371,96034,96302,89642,423396,186804,93294,"Sabaragamuwa"
"112","Batticaloa",2021,50649,50756,47613,47746,44444,209919,92617,46255,"Eastern"
"113","Puttalam",2021,72883,73036,68515,68706,63955,302070,133274,66560,"North_Western"
"114","Moneragala",2021,43352,43443,40754,40868,38041,179677,79274,39591,"Uva"
"115","Mullaitivu",2021,8413,8431,7909,7931,7382,34868,15384,7683,"Northen"
"116","Kurunegala",2021,149629,149944,140661,141054,131299,620151,273612,136649,"North_Western"
"117","Badulla",2021,76832,76994,72227,72429,67420,318437,140495,70167,"Uva"
"118","Vavuniya",2021,16654,16689,15656,15700,14614,69024,30454,15209,"Northen"
"119","Kandy",2021,128855,129126,121131,121470,113070,534049,235624,117676,"Central"
"120","Matara",2021,74943,75101,70452,70649,65763,310609,137042,68442,"Southern"
"121","Kegalle",2021,77090,77252,72469,72672,67646,319504,140966,70402,"Sabaragamuwa"
"122","Ampara",2021,64556,64692,60687,60856,56648,267558,118047,58956,"Eastern"
